Generation,Player Color.RED,Player Color.BLUE,Player Color.WHITE,Player Color.ORANGE
1,23,30,19,28
2,33,20,18,28
3,26,18,26,30
4,36,20,22,22
5,28,25,23,24
6,28,23,23,25
7,28,24,25,22
8,31,28,22,19
9,27,16,32,25
10,32,17,26,25
11,37,20,19,24
12,37,28,13,22
13,28,18,28,25
14,32,22,26,20
15,30,28,26,16
16,22,28,25,25
17,27,30,19,24
18,33,20,23,24
19,36,18,20,26
20,33,27,24,16
21,38,20,20,22
22,30,27,19,24
23,35,17,24,24
24,40,22,18,20
25,32,23,25,20
26,43,19,16,22
27,35,23,21,21
28,30,25,19,26
29,44,15,22,19
30,33,28,19,20
31,41,26,14,19
32,31,24,25,20
33,35,24,21,20
34,28,24,22,26
35,34,31,7,28
36,28,21,30,21
37,30,28,19,23
38,31,28,16,24
39,33,18,23,26
40,28,24,25,23
41,33,19,20,28
42,37,21,21,21
43,39,21,26,14
44,28,25,19,27
45,35,20,21,24
46,27,25,30,18
47,31,23,23,23
48,26,23,28,22
49,27,30,27,16
50,31,23,28,18
