Generation,Player Color.RED,Player Color.BLUE,Player Color.WHITE,Player Color.ORANGE
1,31,26,17,26
2,28,32,19,20
3,25,20,17,38
4,31,28,20,21
5,36,28,21,15
6,28,28,23,19
7,32,23,19,26
8,35,18,24,23
9,36,28,20,15
10,34,18,22,26
11,27,25,26,22
12,41,21,15,23
13,42,25,13,20
14,28,30,19,22
15,37,27,13,23
16,31,31,16,22
17,31,27,17,25
18,33,23,21,23
19,38,20,23,19
20,28,32,19,20
21,37,26,15,22
22,31,26,22,21
23,28,24,21,27
24,28,31,22,18
25,31,17,19,33
26,32,31,15,22
27,33,22,24,21
28,31,27,21,21
29,36,28,20,14
30,35,32,14,19
31,33,22,19,25
32,30,27,13,30
33,37,27,18,18
34,39,30,12,19
35,34,28,18,19
36,34,28,17,21
37,32,30,18,20
38,35,26,23,16
39,28,30,19,22
40,30,28,19,23
41,47,19,16,18
42,23,27,19,31
43,34,17,19,30
44,27,24,18,31
45,32,31,15,22
46,38,24,15,23
47,35,27,13,25
48,35,26,11,28
49,31,34,18,17
50,39,28,17,16
51,28,30,20,21
52,28,23,25,23
53,38,19,25,18
54,35,23,18,24
55,35,32,14,19
56,25,27,21,27
57,32,27,19,22
58,28,33,17,21
59,38,24,19,19
60,39,17,16,28
61,32,28,17,22
62,35,22,16,27
63,35,22,19,24
64,33,23,17,27
65,32,30,14,24
66,30,33,18,19
67,36,20,20,24
68,33,28,20,18
69,30,23,15,32
70,36,24,13,27
71,38,23,21,18
72,24,30,26,20
73,30,25,25,20
74,38,24,15,23
75,42,21,16,21
76,32,22,23,23
77,33,26,14,27
78,34,34,17,15
79,28,28,19,24
80,33,24,17,26
81,39,30,18,13
82,36,20,20,24
83,43,17,16,24
84,28,31,22,19
85,41,27,15,17
86,28,34,22,16
87,27,27,20,26
88,30,25,16,28
89,31,34,13,22
90,28,28,15,27
91,34,30,19,17
92,38,20,17,25
93,33,25,22,20
94,36,19,21,24
95,22,35,21,22
96,33,30,16,21
97,34,21,26,19
98,31,28,19,21
99,28,27,16,28
100,47,18,14,21
101,32,26,20,22
102,36,32,13,19
103,34,24,16,26
104,36,20,16,28
105,36,28,15,21
106,28,25,24,23
107,39,21,20,20
108,27,27,20,26
109,27,35,19,19
110,30,25,25,20
111,41,28,17,13
112,39,23,18,20
113,30,30,14,26
114,43,18,22,17
115,26,23,21,30
116,31,32,18,19
117,43,24,18,15
118,31,26,14,28
119,38,27,18,17
120,33,28,21,18
121,37,26,15,22
122,28,26,17,28
123,34,33,12,21
124,37,23,24,16
125,47,26,9,18
126,33,27,18,22
127,31,21,17,31
128,32,26,24,18
129,33,30,15,22
130,34,20,16,30
131,34,28,18,19
132,30,24,22,24
133,28,26,21,24
134,34,32,12,22
135,34,27,18,21
136,34,30,15,21
137,37,28,12,22
138,28,37,13,22
139,26,25,21,27
140,32,33,18,17
141,37,28,12,23
142,41,22,16,21
143,33,28,17,22
144,23,28,25,24
145,39,19,25,17
146,33,27,17,23
147,35,27,17,21
148,34,27,16,23
149,28,32,13,27
150,36,23,23,18
151,32,24,18,26
152,37,25,18,20
153,34,28,19,19
154,40,23,21,16
155,41,24,15,20
156,28,27,18,26
157,36,28,12,23
158,41,20,15,24
159,37,30,15,18
160,31,25,16,28
161,32,25,19,24
162,37,23,19,21
163,37,26,12,25
164,32,26,16,26
165,33,28,17,22
166,32,22,26,20
167,39,28,14,18
168,26,32,17,25
169,27,36,15,22
170,27,27,21,25
171,27,24,25,24
172,37,25,19,19
173,45,27,14,14
174,26,31,13,30
175,28,33,15,24
176,35,24,24,17
177,28,30,20,21
178,40,18,14,28
179,30,23,19,28
180,35,33,17,15
181,28,31,15,26
182,42,16,10,32
183,31,26,18,25
184,25,30,21,24
185,32,25,21,22
186,36,26,19,19
187,28,34,16,21
188,38,22,19,21
189,30,20,18,32
190,33,22,28,17
191,42,24,15,19
192,33,26,31,10
193,33,17,15,35
194,34,22,22,22
195,30,30,12,28
196,35,24,16,25
197,32,28,19,21
198,39,22,14,25
199,26,31,17,26
200,35,22,17,26
