Generation, Weighted Random, GP1, GP2, GP3
1,37,21,21,21
2,32,26,22,20
3,33,23,25,19
4,35,15,32,18
5,25,30,27,18
6,35,19,25,21
7,30,27,25,18
8,38,17,24,21
9,32,21,23,24
10,42,27,19,12
11,33,21,23,23
12,37,26,16,21
13,43,18,22,17
14,33,19,27,21
15,34,24,20,22
16,30,25,20,25
17,37,21,18,24
18,28,33,22,16
19,31,22,24,23
20,32,21,24,23
21,33,24,19,23
22,37,23,21,19
23,40,14,24,22
24,31,35,14,20
25,34,25,22,19
26,28,26,24,22
27,37,21,19,23
28,34,22,22,22
29,43,24,14,19
30,28,30,23,19
31,32,25,26,17
32,37,24,22,17
33,36,20,21,23
34,31,27,23,19
35,35,18,28,18
36,34,23,23,20
37,37,16,22,25
38,39,19,24,18
39,28,28,21,23
40,28,25,21,26
41,32,33,19,16
42,35,27,21,17
43,28,34,21,17
44,34,21,24,21
45,28,24,22,25
46,24,27,20,28
47,37,23,13,27
48,30,25,21,24
49,38,25,21,16
50,28,24,30,17
51,32,18,28,22
52,37,15,27,21
53,27,24,25,24
54,32,22,22,24
55,28,26,22,23
56,30,26,25,19
57,28,25,22,24
58,25,36,15,24
59,30,28,25,17
60,33,30,18,19
61,38,24,18,20
62,37,30,19,14
63,40,28,21,11
64,28,23,24,24
65,36,21,26,17
66,40,16,28,15
67,37,26,21,16
68,30,28,22,19
69,45,25,18,12
70,34,23,32,11
71,37,19,24,20
72,31,32,25,12
73,33,28,21,18
74,41,24,20,15
75,31,28,25,16
76,35,28,27,9
77,28,25,26,20
78,32,19,25,24
79,28,22,26,24
80,28,24,25,23
81,40,19,20,21
82,34,22,19,25
83,37,18,28,17
84,41,12,18,28
85,40,22,16,22
86,28,24,22,25
87,37,22,23,18
88,30,26,13,31
89,42,17,22,19
90,33,22,26,19
91,35,26,15,24
92,36,19,15,30
93,30,21,28,20
94,35,21,21,23
95,32,25,24,19
96,32,19,22,27
97,38,20,22,20
98,36,16,26,22
99,28,22,24,25
100,34,21,26,19
101,32,24,24,20
102,32,23,17,28
103,28,19,32,20
104,38,26,13,23
105,34,17,26,23
106,34,21,19,26
107,36,21,18,25
108,32,25,24,19
109,36,18,23,23
110,33,20,20,27
111,28,25,23,23
112,28,28,28,16
113,18,34,28,20
114,24,34,21,21
115,27,15,32,26
116,28,24,20,27
117,26,21,27,26
118,32,22,23,23
119,28,25,21,26
120,37,26,14,23
121,28,25,23,23
122,28,22,17,33
123,41,21,25,13
124,40,21,17,22
125,31,22,21,26
126,36,21,19,24
127,28,26,25,20
128,35,28,20,16
129,28,27,21,24
130,37,16,19,28
131,28,27,21,23
132,36,23,19,22
133,25,26,27,22
134,36,22,25,17
135,33,30,18,19
136,43,21,11,25
137,35,20,17,28
138,32,19,28,20
139,40,16,24,20
140,28,19,26,26
141,35,28,20,16
142,28,22,26,24
143,30,15,21,34
144,34,22,18,26
145,28,25,28,18
146,35,25,28,12
147,28,24,24,24
148,33,22,21,24
149,30,34,17,19
150,32,21,28,18
151,35,20,24,21
152,28,25,28,19
153,24,30,19,27
154,28,28,23,21
155,31,24,21,24
156,42,18,20,20
157,31,27,25,17
158,34,21,23,22
159,32,24,24,20
160,28,24,15,33
161,41,28,14,17
162,39,24,21,16
163,28,28,17,26
164,25,26,23,26
165,26,28,24,21
166,33,21,26,20
167,28,17,25,30
168,43,14,19,24
169,31,20,28,21
170,35,23,26,16
171,33,24,19,24
172,32,20,23,25
173,32,22,19,27
174,28,34,22,16
175,28,30,18,24
176,36,22,23,19
177,30,23,27,20
178,31,23,25,21
179,20,34,25,21
180,28,25,21,25
181,22,22,33,23
182,38,25,25,12
183,30,22,18,30
184,28,24,20,28
185,27,25,25,23
186,37,17,24,22
187,27,23,21,28
188,36,28,18,17
189,34,23,22,21
190,28,26,21,24
191,28,27,24,20
192,30,28,18,24
193,30,12,36,22
194,28,23,26,23
195,37,22,21,20
196,33,23,26,18
197,35,30,18,17
198,38,24,10,28
199,28,16,28,27
200,41,23,19,17
