Generation,Weighted Random, GP 1, GP 2, GP 3
1,41,19,19,21
2,32,24,20,24
3,30,27,22,21
4,33,22,23,22
5,25,24,25,26
6,35,25,24,16
7,39,21,20,20
8,37,20,20,23
9,35,21,26,18
10,42,20,18,20
11,34,21,15,30
12,35,18,25,22
13,42,19,16,23
14,33,28,14,25
15,41,22,12,25
16,35,20,26,19
17,35,22,23,20
18,31,25,24,20
19,35,19,21,25
20,41,19,20,20
21,37,21,22,20
22,28,21,24,27
23,30,20,24,26
24,28,20,24,27
25,37,25,23,15
26,27,22,21,30
27,37,22,28,12
28,38,28,11,22
29,33,20,25,22
30,34,21,21,24
31,37,24,17,22
32,41,24,11,24
33,28,23,28,20
34,37,23,22,18
35,39,11,25,25
36,36,21,19,24
37,43,19,14,24
38,36,23,19,22
39,36,21,23,20
40,38,13,19,30
41,36,20,20,24
42,24,26,21,28
43,38,14,34,14
44,39,22,18,21
45,35,24,20,21
46,37,26,16,21
47,37,22,22,19
48,38,16,23,23
49,33,19,25,23
50,31,25,25,19
