Generation, Weighted Random, GP1, GP2, GP3
1,28,18,28,24
2,26,26,22,26
3,37,21,19,23
4,49,6,36,9
5,33,26,31,10
6,31,16,22,31
7,28,20,28,24
8,22,24,31,23
9,28,17,23,31
10,20,22,30,28
11,28,21,20,31
12,34,19,22,25
13,24,30,18,28
14,19,27,23,31
15,24,25,26,25
16,22,35,15,28
17,28,22,31,19
18,32,26,26,16
19,28,22,28,21
20,21,30,23,26
21,33,35,25,7
22,27,25,22,26
23,26,28,20,26
24,28,21,25,26
25,21,35,23,21
26,36,24,18,22
27,32,27,16,25
28,26,32,18,24
29,22,16,36,26
30,27,25,28,20
31,28,26,28,16
32,28,20,23,28
33,36,18,25,21
34,28,22,31,19
35,40,28,5,26
36,46,3,10,41
37,36,45,13,6
38,28,18,25,28
39,32,27,19,22
40,25,20,25,30
41,28,17,27,28
42,28,24,26,21
43,32,17,31,20
44,23,23,28,26
45,26,25,28,21
46,28,24,24,23
47,30,23,25,22
48,25,27,27,21
49,32,24,23,21
50,30,23,24,23
