Generation,Weighted Random, GP1, GP2, GP3
1,27,26,21,26
2,33,26,24,17
3,24,32,24,20
4,26,20,24,30
5,38,18,23,21
6,34,26,19,21
7,30,25,16,28
8,35,27,22,16
9,32,26,19,23
10,42,21,23,14
11,47,14,19,20
12,25,30,18,27
13,38,19,23,20
14,39,21,17,23
15,35,16,26,23
16,34,26,17,23
17,28,24,24,24
18,51,31,9,9
19,43,26,17,14
20,40,22,22,16
21,38,19,21,22
22,34,23,22,21
23,33,19,22,26
24,47,19,19,15
25,25,26,18,31
26,33,32,21,14
27,34,24,19,23
28,31,20,21,28
29,31,20,23,26
30,41,21,17,21
31,36,21,19,24
32,40,20,22,18
33,39,20,12,28
34,34,23,13,30
35,36,20,25,19
36,39,15,17,28
37,30,26,22,22
38,32,28,21,19
39,38,18,19,25
40,46,15,22,17
41,39,20,28,12
42,36,21,24,19
43,36,24,22,18
44,36,18,22,24
45,37,16,26,21
46,39,19,23,19
47,31,32,17,20
48,26,19,26,28
49,40,27,21,12
50,37,20,22,21
51,30,23,17,30
52,34,25,18,23
53,34,11,28,27
54,33,22,26,19
55,35,25,21,19
56,40,16,16,28
57,36,22,24,18
58,38,16,16,30
59,36,26,21,17
60,30,16,31,23
61,31,16,31,22
62,33,15,26,26
63,37,23,26,14
64,27,23,30,20
65,32,23,17,28
66,31,18,18,33
67,42,15,19,24
68,26,24,27,23
69,33,31,13,23
70,35,21,15,28
71,38,25,21,15
72,34,20,25,21
73,36,18,22,24
74,36,19,28,17
75,35,21,22,22
76,41,18,21,20
77,37,22,21,20
78,44,26,19,11
79,34,20,22,24
80,30,30,21,19
81,43,22,21,14
82,38,22,25,15
83,37,23,21,19
84,35,21,21,23
85,38,15,20,27
86,38,26,22,14
87,39,18,20,23
88,33,24,22,21
89,33,15,25,27
90,32,23,24,21
91,41,11,38,8
92,28,16,24,31
93,42,32,14,12
94,34,18,22,26
95,38,15,22,25
96,28,26,24,21
97,33,20,25,22
98,25,20,26,28
99,38,14,21,27
100,37,18,19,26
101,39,24,20,17
102,34,21,21,24
103,35,22,24,19
104,48,18,13,21
105,39,17,21,23
106,31,19,28,21
107,31,24,20,25
108,30,19,24,27
109,36,24,20,20
110,21,27,28,24
111,35,18,20,27
112,28,22,24,26
113,38,21,13,28
114,34,26,18,22
115,24,22,28,26
116,28,24,26,22
117,32,32,8,28
118,34,22,22,22
119,28,21,19,32
120,30,22,28,20
121,32,21,24,23
122,30,25,26,19
123,32,21,24,23
124,23,28,23,25
125,28,27,17,28
126,28,24,22,26
127,31,25,27,17
128,23,25,23,28
129,24,23,23,30
130,33,21,20,26
131,28,25,31,16
132,37,17,26,20
133,28,31,23,18
134,23,31,23,23
135,34,26,20,20
136,28,25,23,24
137,25,15,28,32
138,28,20,25,27
139,31,24,23,22
140,25,15,34,26
141,39,21,24,16
142,52,8,34,6
143,27,19,28,26
144,19,35,18,28
145,32,24,16,28
146,25,19,32,24
147,17,27,30,26
148,28,23,21,27
149,28,28,20,22
150,28,26,26,20
151,31,20,23,26
152,31,27,20,22
153,30,30,23,17
154,37,18,18,27
155,26,24,24,26
156,28,30,20,22
157,38,19,23,20
158,25,23,23,28
159,28,23,19,30
160,28,22,27,22
161,23,28,28,21
162,35,19,25,21
163,24,22,28,25
164,30,28,23,19
165,31,24,26,19
166,32,17,25,26
167,40,27,15,18
168,22,22,33,23
169,32,18,27,23
170,36,23,19,22
171,30,28,22,19
172,37,26,18,19
173,28,26,24,22
174,34,25,14,27
175,32,19,25,24
176,23,30,23,24
177,31,27,20,22
178,30,24,14,32
179,26,28,26,19
180,69,8,13,9
181,70,8,11,8
182,71,7,10,8
183,61,14,10,10
184,66,8,8,16
185,68,8,8,13
186,65,12,16,5
187,65,14,10,7
188,62,12,8,14
189,63,13,10,10
190,42,5,11,42
191,23,25,22,30
192,32,28,21,19
193,26,22,25,27
194,26,33,23,18
195,34,23,26,17
196,22,24,24,30
197,35,24,23,18
198,28,24,24,24
199,24,36,19,21
200,35,16,22,27
