Generation, Weighted Random, GP1, GP2, GP3
1,33,18,26,23
2,32,20,23,25
3,31,20,26,23
4,26,23,21,30
5,28,18,26,27
6,34,19,20,27
7,34,18,20,28
8,35,22,25,18
9,39,16,21,24
10,26,22,23,28
11,31,15,30,24
12,25,19,30,26
13,31,25,22,22
14,39,19,20,22
15,25,23,22,30
16,39,22,18,21
17,28,33,17,22
18,40,21,28,11
19,32,23,31,14
20,39,25,25,11
21,48,24,18,10
22,40,27,25,8
23,42,28,25,5
24,44,22,25,9
25,44,24,20,12
26,30,35,28,6
27,38,26,26,10
28,40,28,22,9
29,40,27,27,6
30,28,35,28,8
31,33,28,28,9
32,45,24,25,6
33,47,24,23,6
34,45,22,25,8
35,28,31,32,9
36,39,26,28,6
37,40,19,30,11
38,41,28,21,10
39,38,36,24,2
40,41,33,19,7
41,41,27,23,8
42,44,24,27,5
43,33,27,30,10
44,34,25,33,8
45,40,28,27,5
46,34,12,40,14
47,47,19,28,5
48,34,25,28,12
49,38,31,19,12
50,43,23,25,9
51,31,30,24,14
52,36,35,21,7
53,34,30,31,5
54,40,22,31,7
55,31,32,32,5
56,45,25,28,2
57,41,19,26,14
58,42,17,26,15
59,42,17,27,14
60,42,22,28,7
61,49,13,22,16
62,48,20,22,10
63,37,19,28,15
64,35,23,31,11
65,40,15,33,12
66,43,19,28,9
67,40,11,36,13
68,43,22,28,7
69,39,20,31,10
70,38,21,28,11
71,35,23,34,8
72,49,17,25,9
73,38,20,25,16
74,37,17,26,20
75,39,20,27,14
76,45,16,26,12
77,48,20,21,11
78,41,24,22,13
79,45,12,36,7
80,45,28,16,11
81,37,18,27,17
82,38,28,19,15
83,36,21,32,11
84,45,17,28,10
85,32,24,34,10
86,36,24,33,7
87,41,22,24,12
88,40,19,28,12
89,44,21,25,10
90,46,25,20,9
91,33,14,39,14
92,48,18,28,6
93,48,17,23,11
94,47,18,24,11
95,39,17,28,16
96,27,32,28,13
97,47,14,27,12
98,43,18,28,10
99,45,19,27,9
100,36,17,31,16
101,48,18,23,11
102,45,20,18,17
103,41,15,28,15
104,43,19,26,12
105,44,23,23,10
106,38,23,28,10
107,43,19,25,13
108,47,22,22,9
109,35,16,31,18
110,49,22,17,12
111,49,14,21,16
112,39,26,18,17
113,40,22,23,15
114,47,20,18,15
115,39,23,26,12
116,46,15,28,11
117,47,26,19,8
118,44,14,27,15
119,51,14,16,19
120,36,23,22,19
121,39,17,26,18
122,53,13,23,11
123,47,20,24,9
124,45,20,24,11
125,40,22,30,8
126,39,20,25,16
127,43,14,30,13
128,49,14,22,15
129,45,20,23,12
130,43,26,14,17
131,50,21,20,9
132,42,21,22,15
133,48,19,16,17
134,46,21,17,15
135,44,21,16,19
136,47,19,16,18
137,47,23,23,6
138,42,24,16,18
139,47,20,21,12
140,41,15,25,19
141,38,23,25,14
142,38,23,21,18
143,53,16,23,8
144,43,13,27,17
145,47,18,18,17
146,43,22,23,12
147,38,20,27,14
148,35,17,27,21
149,43,17,28,12
150,45,17,24,14
151,42,18,28,12
152,46,20,23,11
153,37,13,32,18
154,37,20,28,15
155,48,23,17,12
156,45,17,26,12
157,39,12,32,17
158,43,23,24,10
159,56,16,18,9
160,49,15,22,14
161,47,14,22,16
162,46,18,21,14
163,44,26,16,13
164,38,24,21,17
165,45,22,22,11
166,42,19,22,17
167,51,16,18,15
168,40,19,26,15
169,43,13,31,13
170,43,23,20,14
171,37,30,20,13
172,42,18,28,12
173,37,24,28,11
174,53,22,13,12
175,46,19,22,13
176,37,23,24,16
177,41,27,17,15
178,40,26,22,12
179,44,26,17,13
180,42,24,21,13
181,55,17,18,10
182,45,22,17,16
183,51,15,19,15
184,37,28,23,11
185,50,15,20,15
186,48,10,26,15
187,48,12,23,17
188,53,19,17,11
189,44,16,25,15
190,48,16,18,18
191,47,18,25,10
192,45,12,28,15
193,48,12,24,16
194,49,18,23,10
195,38,26,27,9
196,44,17,30,9
197,48,14,25,13
198,48,19,17,16
199,48,14,25,13
200,46,15,22,17
